順位,タイトル,チャンネル名,登録者数,再生数,伸び率,コメント数,動画秒数,投稿日,URL
1,LOLが強すぎるVTuber4選,V好きゲーム部,831,72579,87.3x,22,45,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/VfErcdRitPA"",""動画を開く"")"
2,ロマンだけで来た人#vtuber #おもしろ #shorts #イヴ様みて,三日月イブの日常,774,35482,45.8x,13,13,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/g2hvQfW8yGs"",""動画を開く"")"
3,お前っていつも髪ボサボサでマスクつけてるよな！ #vtuber #新人vtuber,氷澄らぴ,911,30594,33.6x,20,15,2026-04-18,"=HYPERLINK(""https://www.youtube.com/shorts/FLT6dxwEUGk"",""動画を開く"")"
4,知ってるキャラはいる？　#vtuber #shorts #fyp #funny #ワールドトリガー #valorant #ハイキュー #ツイステ,イヴ・アダムス　EveAdams,1590,32469,20.4x,16,27,2026-04-18,"=HYPERLINK(""https://www.youtube.com/shorts/13yV2MbB_6g"",""動画を開く"")"
5,宿題やってこなかった時の言い訳 #vtuber #新人vtuber #shorts #夢打ペカ #vtuber準備中,夢打ペカ@ ギャンブラー看護師VTuber,977,19324,19.8x,26,8,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/pOpBhWMgpxE"",""動画を開く"")"
6,Warden Players Be Like In Rank: #shorts #siege #r6 #rainbowsix #vtuber #siegemoments #funny,Mr. Scary,1740,25375,14.6x,22,10,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/5arWR7N0WWc"",""動画を開く"")"
7,【✨マイクラで黒歴史暴露！✨】#vtuber #shorts #あいうえおと #バズれ #アイドルvtuber  #コラボ #新人vtuberと繋がりたい #おとらいうる #マイクラ,Oto Ch. あいうえおと,1910,27719,14.5x,12,45,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/v3sJ6nYGw2I"",""動画を開く"")"
8,神絵師はイラストを左右反転しても違和感ないらしい#vtuber準備中 #vtuber #イラスト  #推しをお探しですか #shorts,多々良なぎ,606,7120,11.7x,11,17,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/K2GtEDodUzQ"",""動画を開く"")"
9,히나 드라군임? #vtuber #shorts,백냥이,2730,28619,10.5x,41,23,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/D2KA3ehd_-4"",""動画を開く"")"
10,【✨高校生Vtuberが踊ってみた✨】どーも、天才です！/ P丸様。 #shorts #vtuber #踊ってみた,猫丸　らいな　@準備中Vtuber ⚡️💛,4690,45304,9.7x,76,15,2026-04-18,"=HYPERLINK(""https://www.youtube.com/shorts/LTfjQJaD7O0"",""動画を開く"")"
11,【hololive/さくらみこ】多声類vtuberが全てアフレコしてみた。#hololive #ホロライブ #さくらみこ,亜昼間りずむ🪿あひるま,669,6288,9.4x,25,38,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/YQkf63pSQ70"",""動画を開く"")"
12,アラーム1回目で起きれた、これ花丸？【花丸ほまれ/からくり】#shorts #新人vtuber #vtuber #vtuber準備中,花丸ほまれ / Hanamaru Homare,2890,25334,8.8x,52,51,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/Hi1er0hPkZA"",""動画を開く"")"
13,【9日目】推し紹介☆100日後に復活するセルフ受肉お絵描きVtuber｜⁠⁠#shorts,彩月あたん,3280,28082,8.6x,30,13,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/iGlxbLToaaM"",""動画を開く"")"
14,リア友にVTuberやってるのがバレた瞬間  #うおむすめ #身バレ #おもしろ動画 おもしろ,黄金マアジ,88700,719887,8.1x,216,11,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/iKa5chwo4tU"",""動画を開く"")"
15,【スト6】アレックスで試合をしているとまともに会話も出来なくなる漢【Vtuber】   #ストリートファイター6  #スト6  #streetfighter6  #個人vtuber  #vtuber,まふジャンキー / Mafu Junky🐬,1700,13818,8.1x,16,44,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/ae9oKNuNQPY"",""動画を開く"")"
16,ありがとうって言えた、これ花丸？【花丸ほまれ/からくり】#shorts #新人vtuber #vtuber #vtuber準備中,花丸ほまれ / Hanamaru Homare,2890,23217,8.0x,58,57,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/snyJkIix1s8"",""動画を開く"")"
17,検問でーす⑩「主人公しか通さない検問所」#shorts  #機動戦士ガンダム #vtuber,茸下なめたけ / KinoshitaNametake,24900,160929,6.5x,304,29,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/_xuPvVGIPwA"",""動画を開く"")"
18,らぶぱにがみんなを応援するぱに。#新人Vtuber #Vtuber準備中 #らぶぱにっ,現想少女らぶぱにっ!,682,4062,6.0x,13,20,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/1PRXenTloY0"",""動画を開く"")"
19,4人が踊ってみた短篇【SNAKE EYES】水宮枢、響咲リオナ、Vivi、轟はじめ,Mugamelife,5220,26657,5.1x,22,15,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/2Wqmlt_NTtA"",""動画を開く"")"
20,知り合いのVTuberに奪われたVTuber #short　#vtuber,初凪なの,72900,290251,4.0x,106,47,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/u9S0MrmW3Vg"",""動画を開く"")"
21,皆はスマホ何歳から？ #新人vtuber #vtuber #shorts,天音なる Naru Amane Ch.,662,2490,3.8x,12,40,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/QPaiVqR179k"",""動画を開く"")"
22,Q.借金あるってマジ？ww #shorts  #新人vtuber  #マイクラ  #minecraft,ひなたしゃる!,7180,26869,3.7x,40,17,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/Ar4jIKXgF3c"",""動画を開く"")"
23,【新人活動者が】｢ウタカタララバイ｣の激ムズラップパート歌って分からせてみた☠️🥀【りあ】 #新人vtuber #ウタカタララバイ #cover,りあ / Ria,841,3096,3.7x,32,31,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/1nM78K7a8LQ"",""動画を開く"")"
24,元気になって( ; ; ) #vtuber #shorts,世良こたる / SeraKotaru,47500,174515,3.7x,92,17,2026-04-19,"=HYPERLINK(""https://www.youtube.com/shorts/b0GnjF5lGEU"",""動画を開く"")"
25,【shorts】廃課金者あるある〜日課編〜【新人VTuber】,Merin Ch. 紫乃 めりん。,6740,24403,3.6x,27,7,2026-04-18,"=HYPERLINK(""https://www.youtube.com/shorts/fW8Ow5KCyzc"",""動画を開く"")"
26,【パチンコ】夜間警備【Vtuber】 #新人vtuber #vtuber #歌ってみた#パチスロ #karaoke #shorts#しらの間#あるある#ゲーム実況 #夜間警備,千羽毬しら@歌えるパチスロVTuber,743,2643,3.6x,11,50,2026-04-20,"=HYPERLINK(""https://www.youtube.com/shorts/SMo-kNGfiV8"",""動画を開く"")"
